diagonal;height_left;height_right;margin_low;margin_up;length
171.6;103.55;103.74;3.79;2.86;112.82
171.84;103.59;103.98;4.09;3.05;113.09
171.76;104.13;104.19;5.22;3.55;111.9
171.52;103.85;103.75;3.95;3.09;112.97
171.7;103.77;103.88;4.1;2.96;112.91
171.73;104.09;104.47;4.81;3.46;112.3
172.53;104.29;103.87;4.17;2.98;112.64
172.43;104.06;104.02;4.93;3.33;111.59
172.17;104.21;103.87;4.35;2.98;113.66
172.5;103.81;103.83;4.19;3.01;113.18
172.02;104.43;104.37;5.59;3.06;110.35
171.68;103.9;103.68;3.78;2.74;113.6
171.98;104.44;104.08;4.67;3.21;112.73
172.13;104.1;103.69;4.39;2.86;113.06
172.02;104.36;103.64;4.12;2.82;113.38
171.94;104.11;104.16;4.08;3.35;111.76
171.81;104.37;104.18;5.9;3.52;110.95
172.04;104.34;103.55;3.52;3.02;113.64
171.75;103.63;102.97;4.46;2.77;113.22
171.88;104.44;103.5;4.53;3.06;113.52
172.05;103.42;104.1;4.45;2.99;112.67
172.1;104.02;103.88;3.95;3.1;113.39
172.4;104.32;103.6;4.13;2.92;113.4
172.29;103.73;103.55;3.84;3.23;113.9
171.88;104.12;103.86;4.07;3.41;113.5
171.67;104.08;104.73;4.93;3.31;111.81
172.67;104.69;104.18;4.31;2.94;113.59
172.4;103.86;103.88;3.87;2.97;113.49
172.14;104.34;103.98;3.84;2.98;113.05
171.66;104.12;103.94;4.44;3.19;113.25
172.13;104.35;104.0;5.69;3.3;111.92
171.83;103.56;103.76;5.56;3.49;110.7
172.46;103.64;103.53;4.41;3.4;113.75
172.52;103.9;104.03;3.97;2.98;113.3
171.78;104.51;104.06;5.9;3.18;111.91
172.45;103.78;103.79;3.9;2.87;112.34
171.87;103.86;103.27;4.14;3.14;113.32
171.41;104.47;104.08;3.87;3.18;113.14
171.93;104.34;103.72;3.78;2.93;113.52
171.88;103.93;103.72;4.88;3.26;113.11
172.01;103.51;103.48;4.42;3.13;113.5
171.8;103.71;103.67;4.48;3.18;112.76
172.26;104.08;103.86;3.93;3.01;113.44
172.33;103.64;104.15;4.39;2.93;112.43
172.05;103.7;103.75;5.04;2.27;113.55
172.0;104.14;103.98;3.87;3.12;113.5
172.35;104.04;104.18;4.47;3.03;113.15
171.13;104.13;104.26;3.86;3.69;111.52
171.88;103.66;103.52;4.66;2.75;113.25
171.82;103.78;103.76;3.81;3.25;113.36
171.8;104.31;103.78;3.79;3.12;112.78
171.98;104.16;103.76;4.08;2.94;113.08
171.89;104.49;104.38;5.2;3.63;110.48
171.85;103.93;103.81;4.36;3.12;112.82
171.84;103.62;103.93;4.29;2.95;113.22
172.06;103.87;103.83;4.09;2.92;113.19
172.12;104.32;103.19;4.04;3.28;113.11
171.87;104.76;104.02;6.3;3.61;111.29
171.38;104.52;104.22;4.58;3.41;111.84
171.84;104.21;104.07;5.85;3.5;111.16
171.68;103.95;103.6;3.98;2.93;113.22
171.63;104.33;104.61;4.88;3.35;112.16
171.42;104.65;103.63;3.99;3.05;113.08
171.54;104.53;104.15;5.69;3.43;111.7
171.99;104.12;104.18;4.41;2.75;113.18
171.57;103.58;104.06;3.86;2.94;113.03
172.26;104.46;103.6;4.18;3.31;113.0
171.94;104.38;103.81;4.87;3.39;111.22
172.12;104.08;104.49;4.09;3.56;113.5
171.91;103.73;103.51;4.6;3.1;113.53
172.29;103.93;103.82;4.25;3.11;113.54
172.27;103.78;103.86;4.25;2.86;112.73
171.74;103.9;103.6;3.87;2.89;113.36
171.64;103.6;103.76;4.42;2.98;112.94
171.59;103.93;103.95;5.25;3.38;111.71
171.63;104.02;104.66;6.7;3.28;111.28
171.98;104.33;104.28;4.86;3.45;111.55
171.78;103.38;104.22;4.23;3.07;113.77
171.97;103.61;103.6;4.89;3.17;112.96
171.91;104.26;104.62;5.86;3.44;110.68
171.87;103.27;104.5;3.85;3.03;113.19
171.73;103.99;103.86;5.55;3.33;111.28
172.07;104.03;103.58;5.33;3.64;111.27
172.08;104.49;103.96;4.38;3.14;113.42
171.65;103.59;103.83;3.97;3.12;113.04
171.64;104.45;103.97;4.16;3.23;113.67
171.73;103.77;103.95;4.25;3.08;112.75
172.33;104.18;104.04;4.29;2.99;114.08
171.21;104.29;104.41;5.14;3.26;111.16
172.46;103.81;103.52;4.05;3.16;112.6
171.95;104.11;103.87;4.2;2.81;113.52
171.63;104.61;104.29;5.31;3.14;111.51
171.96;104.17;103.35;4.35;3.31;113.67
171.99;103.75;104.14;4.19;2.82;112.83
171.44;103.52;103.49;4.09;3.12;113.23
171.68;104.27;104.07;4.08;3.34;113.57
172.32;103.95;103.94;4.23;3.31;111.41
171.94;104.37;104.14;5.37;3.46;111.94
172.16;104.23;104.19;5.09;3.61;112.43
171.87;103.4;103.82;4.06;2.94;113.02
171.69;103.85;103.53;3.86;3.19;112.68
171.85;103.58;104.17;4.32;3.07;113.59
171.55;104.05;104.05;4.29;2.99;113.37
172.35;103.72;103.67;4.2;3.07;112.87
171.63;104.05;104.25;4.61;3.1;110.91
171.91;103.97;103.81;3.96;3.03;112.64
172.4;104.19;103.98;4.08;2.93;113.44
171.62;103.4;104.05;3.53;2.96;112.72
172.27;104.06;103.71;3.74;3.21;113.48
172.14;103.8;103.56;3.94;3.12;113.38
172.3;104.04;103.93;4.33;2.92;113.19
172.43;103.58;103.77;3.95;2.62;112.81
171.56;103.92;103.5;4.41;2.66;113.55
171.96;103.4;104.29;3.77;3.24;112.87
171.26;104.22;104.07;4.78;3.81;112.88
173.01;104.59;104.31;5.04;3.05;110.91
172.29;104.43;104.8;4.86;3.3;111.53
171.36;103.61;103.96;3.97;3.22;113.45
