diagonal;height_left;height_right;margin_low;margin_up;length
172.02;104.08;104.01;4.63;3.28;111.03
171.87;103.99;104.11;3.66;3.15;113.35
171.79;104.18;103.87;5.55;3.25;111.88
172.37;103.31;103.5;3.79;3.13;112.43
172.32;104.6;104.83;4.84;3.51;112.55
171.96;103.95;103.81;4.23;3.09;113.27
172.17;104.27;104.32;4.52;3.32;113.48
172.19;103.96;104.03;3.95;3.2;112.71
171.69;104.09;104.49;5.28;3.51;112.68
171.99;103.27;103.31;3.78;3.0;113.51
172.07;104.18;104.1;4.47;2.7;113.99
171.36;103.72;104.76;4.17;2.88;113.14
172.27;104.12;103.96;4.12;2.74;113.12
172.24;103.97;104.11;4.02;2.84;113.15
171.94;104.56;104.25;4.6;3.37;110.64
171.88;103.61;103.46;3.52;2.99;112.94
171.88;104.12;103.86;4.07;3.41;113.5
172.0;104.07;103.55;3.86;3.3;114.03
171.38;103.83;103.99;4.44;3.12;113.48
171.95;104.08;103.91;4.16;2.91;113.26
171.95;103.62;103.91;4.91;2.9;113.17
171.97;103.61;103.6;4.89;3.17;112.96
171.64;103.58;103.46;3.72;3.2;113.3
172.49;104.44;103.98;4.08;3.07;113.16
171.58;103.87;104.07;4.67;3.51;111.53
172.31;103.89;103.78;4.49;3.06;113.34
171.91;103.99;103.81;4.0;2.88;113.02
171.94;103.49;103.82;4.24;3.19;113.05
172.18;104.04;104.12;4.26;3.34;113.67
172.23;103.81;104.13;5.24;3.17;110.91
172.08;104.16;104.58;4.79;3.72;111.04
171.86;103.47;103.59;4.04;2.97;113.22
172.08;103.78;103.13;3.44;2.88;113.22
171.91;104.26;104.62;5.86;3.44;110.68
172.11;104.1;104.18;4.52;3.21;111.45
172.12;104.08;103.93;4.72;3.18;113.38
172.34;104.36;103.83;6.03;3.44;111.44
171.92;104.12;104.15;3.83;2.88;112.65
171.95;103.89;103.69;4.45;3.42;112.02
171.93;103.88;104.35;4.26;3.29;112.7
172.26;103.9;104.12;4.99;3.42;111.27
171.56;103.92;103.5;4.41;2.66;113.55
172.22;103.75;103.55;3.93;3.05;113.48
171.43;104.46;103.95;5.13;3.05;111.2
172.53;103.47;103.99;3.84;2.71;112.74
172.22;104.48;104.06;4.59;2.91;112.82
172.35;104.04;104.18;4.47;3.03;113.15
171.95;103.94;103.8;4.1;3.41;113.38
