diagonal;height_left;height_right;margin_low;margin_up;length
172.18;104.46;103.8;4.31;2.84;113.58
172.06;104.28;104.06;5.17;3.46;112.25
172.17;104.21;103.87;4.35;2.98;113.66
171.94;104.53;103.81;5.07;3.14;112.46
171.94;104.27;103.94;4.46;3.14;112.13
171.38;104.39;104.56;5.96;3.25;111.59
172.31;103.93;103.32;4.73;2.85;113.23
172.59;104.22;104.01;4.47;2.95;113.19
171.56;103.81;103.8;4.24;3.35;113.8
171.43;103.85;103.94;4.37;3.23;111.71
171.57;104.09;103.58;3.99;3.23;112.98
172.73;104.02;104.18;3.74;3.2;113.52
171.98;103.81;104.35;4.57;3.52;111.73
171.9;104.09;104.73;4.59;3.27;112.47
172.33;104.18;104.04;4.29;2.99;114.08
172.48;103.71;103.79;3.91;2.96;112.49
171.67;103.76;103.59;3.82;3.17;112.77
172.29;104.09;103.92;4.51;3.54;110.94
171.38;103.83;103.99;4.44;3.12;113.48
171.57;103.92;104.03;4.59;3.14;113.45
172.05;103.75;104.15;4.39;2.87;112.83
172.05;103.72;103.81;4.21;2.97;113.61
171.54;104.27;104.01;4.63;3.05;113.09
171.65;103.88;103.59;3.94;3.05;113.28
171.98;104.16;103.76;4.08;2.94;113.08
172.32;103.69;103.6;4.24;3.29;112.74
171.91;104.34;103.77;4.45;2.95;112.66
172.09;104.26;103.96;4.45;3.31;111.25
171.7;103.79;103.98;4.44;3.03;113.94
172.21;104.42;103.53;4.48;3.05;113.11
171.29;104.22;104.16;4.37;3.14;113.3
171.84;104.46;104.15;4.51;3.39;110.73
172.36;104.01;104.41;5.23;3.07;110.71
172.51;104.23;103.85;4.74;2.91;112.81
171.85;103.66;103.9;4.16;2.98;112.91
172.34;104.54;103.56;4.04;3.42;112.93
171.69;104.51;103.81;5.02;3.42;112.08
171.79;103.74;103.48;4.6;2.8;113.35
171.95;103.85;104.28;4.13;3.22;113.24
171.92;103.93;104.06;4.38;2.97;113.01
172.46;103.89;103.74;3.57;3.02;112.7
171.9;103.46;104.22;3.99;3.0;113.08
171.78;104.07;104.16;5.77;3.3;111.27
172.1;104.02;103.88;3.95;3.1;113.39
171.73;104.28;103.46;4.04;3.48;112.54
171.75;104.36;104.02;6.0;3.13;111.79
171.8;104.14;104.26;5.67;3.35;111.46
171.91;104.08;104.16;5.91;3.41;111.32
172.16;104.39;103.85;3.77;3.32;112.55
172.54;104.05;103.78;4.34;2.93;114.14
171.79;103.69;103.68;3.65;2.77;112.78
172.48;104.41;104.47;4.81;3.62;111.31
172.09;103.98;103.39;4.1;2.95;112.79
171.45;104.21;104.18;4.55;3.52;113.21
171.94;104.52;103.77;4.1;3.08;112.75
171.96;104.16;103.67;3.98;3.23;112.97
171.87;103.4;103.82;4.06;2.94;113.02
172.47;103.87;104.16;4.63;3.18;112.98
172.44;103.69;104.16;3.73;3.14;112.98
172.18;103.56;104.39;3.75;3.06;113.46
171.95;104.02;103.82;4.28;3.0;113.28
171.9;103.97;104.36;5.59;3.61;112.05
171.55;103.35;103.69;4.31;3.19;113.42
171.81;103.84;103.66;4.35;2.93;112.97
171.85;103.91;103.91;4.5;3.21;113.09
172.24;104.32;103.83;5.6;3.44;111.37
171.54;104.36;103.28;3.99;3.21;113.43
172.01;104.58;103.89;3.96;2.87;113.28
171.71;104.27;104.19;3.56;3.15;112.71
172.45;103.95;103.5;4.1;3.08;113.23
171.9;104.25;104.64;4.46;3.07;110.86
172.11;103.98;104.02;4.17;3.24;112.96
171.95;104.09;103.73;4.34;3.07;113.49
171.4;103.88;103.54;3.75;2.8;113.01
172.5;104.03;103.79;4.27;2.9;112.72
171.52;103.74;104.1;4.47;2.87;113.58
172.21;103.96;103.55;3.91;2.73;113.36
172.24;103.95;103.52;4.33;2.88;113.48
172.72;104.05;104.17;4.21;3.37;111.53
172.02;103.9;104.1;5.92;3.19;111.46
171.68;103.54;104.31;3.9;3.1;112.91
171.99;103.98;103.73;4.34;3.2;113.05
172.5;104.07;103.71;3.82;3.63;110.74
171.98;104.44;104.08;4.67;3.21;112.73
172.06;103.82;103.73;4.18;2.6;112.64
172.01;104.11;103.13;4.53;2.96;113.45
172.4;104.32;103.6;4.13;2.92;113.4
171.6;104.23;104.45;5.57;3.45;110.34
172.22;104.41;104.64;5.2;3.37;112.2
171.68;104.0;104.29;4.9;3.1;111.77
171.96;104.18;104.04;4.57;2.86;113.58
171.73;103.99;103.86;5.55;3.33;111.28
171.58;103.34;103.82;3.53;2.92;113.63
172.4;104.27;104.18;4.92;3.17;111.79
172.04;104.34;103.55;3.52;3.02;113.64
172.05;103.79;104.17;4.08;3.12;112.77
171.53;104.03;104.05;5.77;3.22;111.93
172.31;103.97;104.03;4.6;3.14;111.17
171.81;104.44;104.23;5.29;3.39;111.64
172.41;104.43;103.65;3.97;3.35;113.71
172.33;103.81;103.67;4.58;2.87;113.2
172.26;104.46;103.6;4.18;3.31;113.0
171.83;104.08;103.7;3.28;2.88;113.56
171.96;104.17;103.35;4.35;3.31;113.67
171.7;104.42;104.04;4.75;3.32;111.63
171.55;103.76;104.21;5.11;3.01;111.48
171.75;103.6;103.4;4.02;2.84;112.9
171.74;103.72;103.52;3.94;2.77;113.09
172.11;104.1;104.18;4.52;3.21;111.45
171.61;103.73;104.01;4.29;2.93;112.76
171.88;103.84;103.87;4.18;3.54;113.31
171.99;104.28;104.48;5.27;3.46;110.94
172.3;104.28;103.9;5.1;3.57;110.66
172.03;104.69;103.87;4.17;2.79;112.85
172.4;103.86;103.88;3.87;2.97;113.49
172.1;103.99;104.02;4.19;3.21;113.12
171.36;103.61;103.96;3.97;3.22;113.45
172.07;104.33;104.33;4.41;3.39;113.39
171.69;104.22;104.62;4.11;3.25;113.4
172.34;103.94;103.91;4.13;3.23;112.85
171.92;104.33;104.06;4.45;3.41;111.46
171.52;104.52;103.96;3.43;3.01;113.44
172.11;104.24;104.06;5.61;3.6;111.76
172.0;103.76;104.07;4.36;2.59;113.64
171.19;103.95;103.73;3.96;2.94;113.25
171.6;104.22;104.11;4.25;3.29;113.4
171.7;103.74;103.89;4.43;2.8;112.59
171.76;104.04;104.12;6.29;3.2;112.87
171.67;103.81;103.76;4.59;3.3;112.18
171.85;103.58;104.17;4.32;3.07;113.59
171.9;104.14;103.75;4.56;2.97;113.0
172.16;104.12;104.21;5.01;3.43;110.99
171.94;104.03;103.49;4.16;2.87;113.05
171.85;104.1;104.16;4.18;3.06;113.19
171.49;103.94;103.85;4.32;3.32;113.67
171.89;104.33;103.97;3.95;3.17;113.12
171.59;103.8;104.08;4.18;3.17;113.04
171.62;104.24;103.85;4.08;2.9;112.87
171.59;103.93;103.95;5.25;3.38;111.71
172.02;104.23;104.26;4.92;2.89;113.49
172.11;103.98;104.33;4.3;2.91;112.72
171.38;104.13;104.22;5.67;3.46;112.48
172.46;103.75;104.02;4.26;3.22;113.63
172.08;104.49;103.96;4.38;3.14;113.42
171.99;104.18;104.2;5.26;3.23;111.83
171.69;103.85;103.53;3.86;3.19;112.68
172.13;103.35;104.17;4.23;3.27;113.06
171.73;103.6;103.34;3.82;3.15;112.89
171.65;103.77;103.95;4.18;3.16;113.26
172.1;104.16;104.34;6.0;3.09;111.62
172.12;103.9;104.32;3.83;3.03;113.56
171.75;103.95;103.36;4.57;3.25;113.08
171.99;104.1;103.57;3.64;3.42;113.64
172.2;103.82;103.74;4.22;3.03;113.69
172.46;103.78;103.54;3.89;3.2;113.05
172.15;104.18;103.53;3.92;3.3;113.42
171.94;104.06;104.22;6.9;3.36;111.7
172.58;104.03;103.9;3.79;2.92;113.57
171.8;104.06;103.57;4.06;3.14;112.98
171.68;104.18;103.89;4.4;3.33;113.21
171.65;103.43;103.83;4.36;3.1;113.53
172.0;103.69;103.91;4.12;3.33;112.84
171.83;104.01;103.92;4.35;3.08;112.47
172.02;104.36;103.64;4.12;2.82;113.38
172.26;104.16;103.2;4.55;3.35;113.23
171.65;103.58;104.21;3.91;3.3;113.42
171.36;103.91;103.94;3.62;3.01;113.51
171.64;103.95;103.45;3.98;3.11;113.21
172.02;104.42;102.91;3.86;3.12;113.43
172.02;104.01;103.57;4.5;2.77;112.72
171.49;104.02;103.9;4.37;3.11;112.93
172.47;104.27;104.1;4.88;3.33;110.68
172.29;104.04;103.94;3.81;3.0;113.6
171.91;103.83;103.68;4.05;2.86;113.41
171.72;103.91;104.57;4.08;2.79;113.44
171.99;103.97;103.89;4.22;3.17;113.12
171.9;103.4;103.45;4.09;3.33;112.97
171.37;104.08;104.16;5.55;3.55;111.56
172.05;104.6;104.32;5.12;3.35;111.78
171.75;103.6;103.06;4.03;2.98;112.96
172.16;104.36;104.02;4.11;2.97;113.55
172.07;103.61;104.34;4.34;2.85;113.03
172.24;103.97;103.69;4.32;2.98;113.26
172.37;104.03;104.47;4.95;3.25;111.99
172.08;103.93;103.85;4.3;3.26;113.65
172.03;104.15;104.24;5.12;3.3;112.36
172.38;103.72;103.88;4.36;3.05;113.19
171.57;104.29;104.28;5.12;3.68;110.98
171.59;104.06;103.99;3.93;3.24;112.8
172.28;103.95;103.91;4.78;3.31;111.4
171.62;104.14;104.45;4.94;3.66;111.93
172.05;103.42;104.1;4.45;2.99;112.67
172.12;104.38;103.93;4.71;3.44;111.52
171.68;103.95;103.6;3.98;2.93;113.22
172.46;103.81;103.52;4.05;3.16;112.6
171.9;104.02;103.91;5.38;3.48;111.98
172.4;104.55;104.22;5.18;3.51;111.94
172.1;104.42;103.6;4.18;2.89;113.32
172.12;104.38;104.31;4.82;3.18;111.82
172.21;104.0;103.86;4.05;2.82;113.74
172.13;104.33;103.69;4.75;3.08;110.75
171.46;103.36;103.66;3.77;2.99;113.09
171.98;104.36;103.44;4.19;3.2;112.92
172.19;103.84;104.62;4.14;3.21;113.45
172.33;104.36;104.31;4.4;3.33;112.03
171.84;104.63;104.43;5.24;3.21;111.48
